epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.4648,0.46371,0.0,0.00252,8.34445,200.71401,5691.49609,0.79959,0.84361,0.34095,0.001,6.624
2,0.38149,0.37834,0.0,0.01179,19.71702,208.92565,5467.7969,0.80168,0.8451,0.33949,0.001,6.624
3,0.38634,0.37785,1e-05,0.03226,52.63404,201.82611,5660.13496,0.80823,0.84803,0.33611,0.001,6.624
4,0.37567,0.37219,3e-05,0.0173,17.47386,93.66285,12196.54341,0.81759,0.85087,0.33217,0.001,6.624
5,0.37325,0.3699,2e-05,0.01884,14.60624,100.46685,11370.54647,0.81187,0.84891,0.33417,0.001,6.624
6,0.36856,0.36625,1e-05,0.01046,12.69713,86.74209,13169.64964,0.82213,0.85149,0.33069,0.001,6.624
7,0.37798,0.36951,3e-05,0.03672,47.92673,88.77409,12868.20335,0.80656,0.84728,0.33679,0.001,6.624
8,0.37706,0.36901,1e-05,0.03543,45.08772,94.68272,12065.16832,0.80994,0.84819,0.33486,0.001,6.624
9,0.37043,0.36587,1e-05,0.0242,21.3958,97.51005,11715.33588,0.815,0.84942,0.33275,0.0005,6.624
10,0.36431,0.36215,1e-05,0.01082,10.71822,86.79034,13162.32865,0.81865,0.85061,0.33142,0.0005,6.624
11,0.36144,0.35995,2e-05,0.00727,7.6277,92.02253,12413.94961,0.82053,0.85151,0.33039,0.0005,6.624
12,0.36562,0.36213,2e-05,0.01566,19.23731,112.07214,10193.10408,0.81677,0.84976,0.33225,0.00025,6.624
13,0.36286,0.35978,1e-05,0.01249,18.22458,91.1593,12531.50255,0.81871,0.85076,0.33139,0.00025,6.624
14,0.36115,0.35854,1e-05,0.01105,15.00741,86.67301,13180.14617,0.81991,0.85068,0.33102,0.00025,6.624
15,0.36284,0.35974,0.0,0.01684,14.1268,86.39613,13222.38654,0.81753,0.84949,0.33207,0.000125,6.624
16,0.36041,0.358,0.0,0.01259,11.46549,86.31826,13234.31495,0.81906,0.85021,0.33138,0.000125,6.624
