epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.5652,0.56216,1e-05,0.00315,27.22422,24.87437,16315.02536,0.67365,0.73261,0.42579,0.001,9.618
2,0.51017,0.50179,3e-05,0.0183,65.39787,24.34067,16672.75401,0.72538,0.76172,0.41069,0.001,9.618
3,0.48289,0.4729,1e-05,0.02264,77.23714,23.66615,17147.95032,0.77664,0.78896,0.39805,0.001,9.618
4,0.4628,0.45497,0.0,0.01985,58.36314,24.82385,16348.22711,0.79653,0.79086,0.39058,0.001,9.618
5,0.45397,0.44554,3e-05,0.02568,58.61531,27.57203,14718.75423,0.79689,0.79307,0.38835,0.001,9.618
6,0.45596,0.44286,2e-05,0.03698,94.03637,25.21338,16095.65811,0.78915,0.79215,0.38956,0.001,9.618
7,0.45885,0.44705,0.00046,0.03406,83.44783,24.70722,16425.40102,0.78311,0.7911,0.38981,0.001,9.618
8,0.45908,0.44366,0.00109,0.0454,107.67736,24.35889,16660.28374,0.79402,0.79221,0.38699,0.0005,9.618
9,0.46402,0.43818,0.00133,0.12178,135.26379,24.3848,16642.58232,0.79224,0.79186,0.38838,0.0005,9.618
10,0.46734,0.44063,0.0015,0.11439,151.22613,24.19717,16771.63275,0.78728,0.79176,0.38865,0.0005,9.618
11,0.4653,0.44009,0.00102,0.09342,157.74651,23.55981,17225.35128,0.78661,0.79163,0.38899,0.00025,9.618
12,0.46151,0.43937,0.00068,0.06727,153.38325,24.50244,16562.67835,0.78768,0.79184,0.38886,0.00025,9.618
13,0.45972,0.43921,0.0004,0.05843,146.26425,25.33347,16019.36078,0.78889,0.79172,0.38862,0.00025,9.618
14,0.45824,0.43906,0.00029,0.05133,140.11921,25.21078,16097.31819,0.7884,0.79167,0.38876,0.000125,9.618
15,0.45758,0.43904,0.00034,0.04656,138.5702,34.75065,11678.22627,0.7888,0.7917,0.38884,0.000125,9.618
