epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.46476,0.46352,0.0,0.00171,10.60885,107.76535,10846.01862,0.79096,0.84062,0.34612,0.001,6.624
2,0.38556,0.38234,1e-05,0.00875,23.47775,92.3778,12652.66078,0.8062,0.84372,0.33957,0.001,6.624
3,0.38056,0.37712,2e-05,0.01494,19.4309,89.37615,13077.59419,0.80873,0.84516,0.33845,0.001,6.624
4,0.37317,0.37199,0.0,0.00702,4.81909,123.84655,9437.68733,0.81737,0.84671,0.33598,0.001,6.624
5,0.36693,0.366,0.0,0.00592,3.38478,93.14258,12548.77231,0.82139,0.84893,0.33359,0.001,6.624
6,0.3627,0.3619,0.0,0.00531,2.62318,93.34746,12521.2299,0.82411,0.84891,0.33279,0.001,6.624
7,0.35966,0.35882,0.0,0.00581,2.50662,90.199,12958.29206,0.82362,0.84934,0.33257,0.001,6.624
8,0.35724,0.35641,0.0,0.00588,2.45532,92.56249,12627.41536,0.82545,0.84834,0.33231,0.001,6.624
9,0.35531,0.3545,0.0,0.00577,2.26385,89.21156,13101.72198,0.82455,0.84946,0.33219,0.001,6.624
10,0.35356,0.35272,0.0,0.00609,2.3066,88.14308,13260.54112,0.82488,0.84868,0.33162,0.001,6.624
11,0.35167,0.35091,0.0,0.00549,2.13425,92.78885,12596.61018,0.82513,0.84949,0.33133,0.0005,6.624
12,0.34887,0.34812,0.0,0.00531,2.20604,92.09187,12691.94505,0.82602,0.84944,0.33093,0.0005,6.624
13,0.34782,0.34714,0.0,0.00476,2.06616,94.57451,12358.77373,0.8258,0.84935,0.33102,0.0005,6.624
14,0.34726,0.34655,0.0,0.00492,2.14252,89.29583,13089.35715,0.82505,0.84859,0.33128,0.0005,6.624
15,0.34635,0.34568,0.0,0.00455,2.11389,93.81143,12459.30294,0.82471,0.84907,0.33116,0.00025,6.624
16,0.34468,0.34401,0.0,0.00447,2.17079,89.90296,13000.96233,0.82456,0.84836,0.33139,0.00025,6.624
17,0.34454,0.34387,0.0,0.00453,2.22912,90.82512,12868.9612,0.82382,0.84795,0.33176,0.00025,6.624
18,0.34415,0.34349,0.0,0.00438,2.20836,90.0736,12976.3323,0.82362,0.84727,0.33215,0.000125,6.624
19,0.34376,0.34308,0.0,0.00447,2.31548,92.66285,12613.73828,0.82358,0.84825,0.33174,0.000125,6.624
20,0.34342,0.34275,0.0,0.00434,2.30559,88.55454,13198.92776,0.8229,0.84693,0.33248,0.000125,6.624
21,0.34337,0.34268,0.0,0.00451,2.36121,91.62223,12757.00176,0.82313,0.84792,0.33199,6.25e-05,6.624
22,0.34297,0.34232,0.0,0.00423,2.3115,116.88097,10000.13055,0.82303,0.8476,0.33211,6.25e-05,6.624
