epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.53689,0.53671,0.0,0.00019,1.59247,1922.3767,5244.19487,0.78453,0.72892,0.42258,0.001,5.59
2,0.5299,0.52978,0.0,0.00024,0.94085,1982.51434,5085.11732,0.78724,0.73048,0.42205,0.001,5.59
3,0.52694,0.52685,0.0,0.0002,0.71536,2182.10147,4620.00422,0.78906,0.73252,0.42049,0.001,5.59
4,0.52494,0.52486,0.0,0.00021,0.62884,1870.61904,5389.29509,0.7908,0.73323,0.41984,0.001,5.59
5,0.52314,0.52306,0.0,0.00021,0.59601,1829.81496,5509.47403,0.79172,0.73432,0.4192,0.001,5.59
6,0.52187,0.52179,0.0,0.00026,0.5882,1859.49814,5421.52625,0.79095,0.73145,0.42036,0.001,5.59
7,0.52076,0.52067,0.0,0.00031,0.6367,1823.42554,5528.77965,0.79143,0.73365,0.41962,0.001,5.59
8,0.51978,0.51968,0.0,0.00032,0.6517,1868.7313,5394.7392,0.79237,0.73447,0.41892,0.001,5.59
9,0.51902,0.51892,0.0,0.00036,0.71444,1848.14545,5454.82933,0.7923,0.73425,0.41899,0.001,5.59
10,0.51856,0.51844,0.0,0.00041,0.76095,1820.87808,5536.51454,0.793,0.73489,0.41862,0.001,5.59
11,0.51795,0.51783,0.0,0.00046,0.81455,1868.14945,5396.41942,0.79278,0.73476,0.41874,0.001,5.59
12,0.51767,0.51753,0.0,0.00049,0.92201,1789.23803,5634.41969,0.79232,0.7344,0.41908,0.001,5.59
13,0.51723,0.51708,0.0,0.00052,0.97714,1863.27491,5410.53709,0.79209,0.73438,0.41908,0.0005,5.59
14,0.51597,0.5158,0.0,0.00057,1.0804,1849.30963,5451.39541,0.79245,0.73399,0.4191,0.0005,5.59
15,0.51579,0.51561,0.0,0.00066,1.06287,1821.21819,5535.48061,0.79227,0.73456,0.41897,0.0005,5.59
16,0.51572,0.51554,0.0,0.00077,1.05776,1919.15219,5253.00601,0.79222,0.73456,0.41907,0.00025,5.59
17,0.51505,0.51486,0.0,0.00088,1.09396,1935.04176,5209.87104,0.79154,0.73404,0.41938,0.00025,5.59
18,0.51515,0.51494,0.0,0.00096,1.13305,1912.34854,5271.69486,0.79164,0.73377,0.41932,0.00025,5.59
19,0.51503,0.51481,0.0,0.00102,1.16961,1848.21079,5454.63648,0.79156,0.73374,0.41929,0.000125,5.59
20,0.51468,0.51445,0.0,0.00108,1.20086,1911.07376,5275.21136,0.79093,0.73336,0.41974,0.000125,5.59
