epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.53807,0.53788,0.0,0.0002,1.70945,1802.86953,5577.34647,0.78611,0.73111,0.4216,0.001,5.59
2,0.53063,0.53051,0.0,0.00023,0.93685,1792.11482,5610.81683,0.7871,0.73188,0.42058,0.001,5.59
3,0.52795,0.52785,0.0,0.00023,0.77074,1823.83698,5513.22739,0.7897,0.73401,0.4194,0.001,5.59
4,0.52584,0.52576,0.0,0.0002,0.68496,1868.78175,5380.63261,0.79115,0.73492,0.41871,0.001,5.59
5,0.52406,0.52398,0.0,0.00021,0.63842,1814.44892,5541.75314,0.79209,0.73548,0.41833,0.001,5.59
6,0.5227,0.52262,0.0,0.00021,0.59751,1833.91479,5482.93085,0.7926,0.73401,0.41917,0.001,5.59
7,0.52138,0.5213,0.0,0.00023,0.57967,1871.70366,5372.23291,0.79303,0.7362,0.41793,0.001,5.59
8,0.5204,0.52032,0.0,0.00025,0.58923,1819.25962,5527.09898,0.79356,0.73619,0.41792,0.001,5.59
9,0.51951,0.51942,0.0,0.00027,0.61197,1866.64496,5386.79193,0.79337,0.73603,0.41793,0.001,5.59
10,0.51909,0.51899,0.0,0.00031,0.67391,1827.4375,5502.36494,0.79397,0.73715,0.41738,0.001,5.59
11,0.51841,0.51831,0.0,0.00035,0.68027,1853.31403,5425.53923,0.79378,0.73684,0.41751,0.001,5.59
12,0.51798,0.51786,0.0,0.00042,0.76747,1898.67791,5295.91036,0.79402,0.73704,0.41729,0.001,5.59
13,0.51758,0.51746,0.0,0.00044,0.78782,1847.48781,5442.64918,0.79389,0.73692,0.41737,0.0005,5.59
14,0.51643,0.51629,0.0,0.00053,0.87728,1860.91064,5403.39109,0.79358,0.73681,0.41755,0.0005,5.59
15,0.51641,0.51625,0.0,0.00061,0.96522,1894.41509,5307.82723,0.79328,0.73671,0.41776,0.0005,5.59
16,0.51627,0.51611,0.0,0.00065,1.01,1833.10143,5485.36368,0.79299,0.73641,0.41786,0.00025,5.59
17,0.51565,0.51547,0.0,0.00074,1.0701,1839.74256,5465.56252,0.79276,0.73629,0.41793,0.00025,5.59
18,0.51567,0.51548,0.0,0.00079,1.1118,1949.02108,5159.1171,0.79292,0.73634,0.41782,0.00025,5.59
19,0.5156,0.5154,0.0,0.00085,1.11619,1853.91414,5423.78299,0.79266,0.73621,0.41794,0.000125,5.59
20,0.51534,0.51514,0.0,0.00089,1.11527,1962.41416,5123.90717,0.79211,0.73586,0.41821,0.000125,5.59
21,0.51541,0.5152,0.0,0.00094,1.16535,1855.69679,5418.57273,0.79192,0.73571,0.41831,0.000125,5.59
22,0.51547,0.51525,0.0,0.00097,1.18777,1809.7137,5556.25347,0.79172,0.7358,0.41842,6.25e-05,5.59
