epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.61038,0.60792,0.0,0.00095,23.67057,75.89767,2269.22654,0.7471,0.69816,0.43894,0.001,5.357
2,0.56603,0.56033,0.0,0.00553,51.42636,71.03023,2424.72828,0.75716,0.71228,0.4321,0.001,5.357
3,0.55695,0.54792,0.0,0.01186,78.42977,72.77214,2366.68872,0.77259,0.72954,0.42278,0.001,5.357
4,0.55069,0.54067,1e-05,0.01882,81.3592,72.94174,2361.18586,0.76264,0.72124,0.42633,0.001,5.357
5,0.55147,0.54024,2e-05,0.02677,85.57814,71.79725,2398.82432,0.76434,0.72144,0.42571,0.001,5.357
6,0.55006,0.54106,0.0,0.0203,69.66477,74.40025,2314.89812,0.76256,0.72165,0.42603,0.0005,5.357
7,0.54586,0.53905,0.0,0.01499,53.06183,71.81191,2398.33488,0.76445,0.72195,0.42544,0.0005,5.357
8,0.54066,0.5346,0.0,0.01599,44.61991,71.71933,2401.43077,0.76889,0.7239,0.42383,0.0005,5.357
