epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.60929,0.60592,1e-05,0.00225,31.47778,84.33201,2042.27304,0.76749,0.72603,0.43101,0.001,6.389
2,0.5563,0.54996,1e-05,0.01092,52.39985,77.63756,2218.37226,0.75522,0.71646,0.43149,0.001,6.385
3,0.56692,0.55313,3e-05,0.0277,110.21492,77.82683,2212.97717,0.75752,0.71974,0.42845,0.001,6.385
4,0.55883,0.54498,6e-05,0.02755,110.87036,108.95239,1580.77297,0.76013,0.71863,0.42716,0.0005,6.385
5,0.56204,0.54849,0.00394,0.03244,99.13642,79.14477,2176.12615,0.75009,0.71279,0.43113,0.0005,6.385
6,0.56284,0.54838,0.00326,0.03625,105.06249,90.81362,1896.51065,0.75972,0.71905,0.4274,0.0005,6.385
