epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.62266,0.62048,3e-05,0.00093,20.78373,47.48787,3797.85395,0.74606,0.68782,0.43994,0.001,9.791
2,0.57299,0.56892,0.0,0.00406,36.54848,31.34726,5753.35734,0.75401,0.73456,0.42674,0.001,9.792
3,0.56071,0.55279,1e-05,0.01332,65.8157,30.79153,5857.19583,0.75263,0.72968,0.42533,0.001,9.792
4,0.55098,0.53912,6e-05,0.03646,82.05173,30.92172,5832.53487,0.76227,0.73493,0.42113,0.001,9.792
5,0.55552,0.54483,0.00011,0.02404,82.77211,30.27941,5956.25948,0.75125,0.72492,0.42566,0.001,9.792
6,0.55637,0.54404,2e-05,0.02504,98.14675,36.29088,4969.62381,0.75637,0.72588,0.42525,0.001,9.792
7,0.55139,0.5396,0.00011,0.02484,92.93564,30.67662,5879.13484,0.75368,0.72934,0.42402,0.0005,9.792
8,0.55181,0.53834,0.00015,0.03247,102.07505,31.61654,5704.35622,0.75693,0.72801,0.42387,0.0005,9.792
9,0.54897,0.53549,5e-05,0.03379,100.98611,30.74376,5866.29541,0.75652,0.72991,0.42295,0.0005,9.792
10,0.54802,0.53439,3e-05,0.03338,102.91177,30.67154,5880.10878,0.76035,0.72981,0.4223,0.00025,9.792
11,0.54435,0.5306,4e-05,0.04009,97.36037,29.79797,6052.49215,0.76487,0.73225,0.42125,0.00025,9.792
12,0.54203,0.52816,4e-05,0.04564,93.04169,30.76978,5861.33469,0.76232,0.73279,0.42095,0.00025,9.792
13,0.54113,0.52801,5e-05,0.03865,92.57049,30.65139,5883.97544,0.76428,0.73363,0.4206,0.00025,9.792
14,0.54124,0.52604,6e-05,0.0598,92.07738,31.74996,5680.38502,0.76788,0.7323,0.42068,0.00025,9.792
15,0.54058,0.52588,5e-05,0.05453,92.4326,31.70923,5687.68143,0.76265,0.733,0.42072,0.00025,9.792
16,0.53974,0.52585,5e-05,0.04538,93.45705,31.76364,5677.93889,0.7652,0.73435,0.42052,0.00025,9.792
17,0.53834,0.52384,5e-05,0.05186,93.08689,41.07069,4391.25859,0.76365,0.73472,0.42051,0.000125,9.792
18,0.53839,0.52474,4e-05,0.04317,93.27922,63.18277,2854.44888,0.76321,0.7349,0.42063,0.000125,9.792
19,0.538,0.52438,4e-05,0.04193,94.21191,62.67032,2877.78951,0.76398,0.73625,0.42044,0.000125,9.792
20,0.53763,0.52369,4e-05,0.04434,95.05853,46.07037,3914.70659,0.76529,0.73612,0.42032,6.25e-05,9.792
21,0.53715,0.52257,4e-05,0.05098,94.82529,30.42651,5927.46282,0.76597,0.73648,0.42005,6.25e-05,9.792
22,0.53692,0.52222,4e-05,0.05181,95.12932,46.29092,3896.0558,0.76611,0.73643,0.41985,6.25e-05,9.792
23,0.53658,0.52158,4e-05,0.05446,95.49477,41.36161,4360.37143,0.76638,0.73578,0.41985,3.125e-05,9.792
24,0.53639,0.52144,4e-05,0.05308,96.4255,29.6951,6073.46027,0.76637,0.73586,0.41981,3.125e-05,9.792
