epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.62359,0.62097,2e-05,0.0011,25.06933,35.79993,4901.37841,0.72635,0.67564,0.44642,0.001,9.791
2,0.57854,0.5734,3e-05,0.00431,47.02437,30.34364,5782.72676,0.75288,0.72857,0.42881,0.001,9.791
3,0.55024,0.54407,0.0,0.00918,52.48858,31.40268,5587.70769,0.75904,0.73085,0.42467,0.001,9.791
4,0.54897,0.53774,1e-05,0.03486,77.45934,31.48114,5573.7818,0.77057,0.73099,0.42146,0.001,9.791
5,0.55298,0.53231,0.00021,0.09095,115.52864,48.47119,3620.06766,0.77059,0.73576,0.42001,0.001,9.791
6,0.5525,0.53718,0.00013,0.04693,106.12441,70.59789,2485.471,0.75739,0.71801,0.42645,0.001,9.791
7,0.54977,0.53396,0.00011,0.05364,104.40165,71.34669,2459.38516,0.76964,0.73009,0.42083,0.0005,9.791
8,0.54443,0.52567,0.00017,0.08975,97.71085,33.54856,5230.29842,0.77154,0.72414,0.42231,0.0005,9.791
9,0.54216,0.52493,0.00022,0.07821,93.78717,30.48397,5756.10739,0.76932,0.73346,0.42073,0.0005,9.791
10,0.5449,0.52704,5e-05,0.06774,110.74805,30.23335,5803.82223,0.76425,0.73157,0.42226,0.0005,9.791
11,0.54428,0.5286,2e-05,0.0418,115.01729,30.39776,5772.43125,0.76884,0.7312,0.42136,0.00025,9.791
12,0.54158,0.52333,4e-05,0.07367,108.7986,31.56345,5559.2473,0.77063,0.73092,0.42096,0.00025,9.791
13,0.53909,0.52224,2e-05,0.06959,98.84639,31.67474,5539.71396,0.77058,0.73071,0.42093,0.00025,9.791
14,0.53758,0.52276,4e-05,0.06267,85.49023,69.85304,2511.97367,0.77082,0.73092,0.42094,0.000125,9.791
15,0.53514,0.5207,4e-05,0.0582,86.19538,70.26448,2497.26451,0.77138,0.73065,0.42049,0.000125,9.791
16,0.53472,0.52012,6e-05,0.05544,90.5683,68.98112,2543.72511,0.7712,0.73011,0.42053,0.000125,9.791
17,0.53512,0.52011,6e-05,0.05692,93.13877,35.64318,4922.93404,0.771,0.72961,0.42137,6.25e-05,9.791
18,0.53614,0.52118,5e-05,0.05844,91.13549,31.88808,5502.65213,0.77123,0.73037,0.42082,6.25e-05,9.791
