epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.52078,0.51581,0.00011,0.00792,41.65381,65.68651,6178.22395,0.76135,0.78732,0.40044,0.001,3.293
2,0.45769,0.44928,5e-05,0.03256,51.46803,69.74159,5818.99518,0.81489,0.79315,0.38075,0.001,3.293
3,0.45777,0.43958,3e-05,0.10204,79.86054,74.70525,5432.3627,0.78569,0.79075,0.39151,0.001,3.293
4,0.4565,0.44247,0.0003,0.05335,86.64773,76.59536,5298.31032,0.78334,0.79259,0.38922,0.001,3.293
5,0.46185,0.44029,3e-05,0.09504,120.50956,64.94805,6248.47136,0.78582,0.79268,0.38825,0.0005,3.293
6,0.47376,0.43902,0.0,0.17547,171.98438,92.80169,4373.04537,0.78557,0.79148,0.3892,0.0005,3.293
7,0.46721,0.43814,0.0,0.14414,146.60489,79.77595,5087.07179,0.78693,0.79226,0.38813,0.0005,3.293
