epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.55184,0.54725,1e-05,0.00413,41.77985,495.67737,3458.29383,0.73092,0.73527,0.42346,0.001,6.994
2,0.54433,0.54029,0.0,0.0063,34.13178,473.2722,3622.01286,0.73088,0.7354,0.42314,0.001,7.005
3,0.5443,0.5393,0.0,0.00693,43.10775,438.04273,3913.31232,0.7306,0.73558,0.42303,0.001,7.005
4,0.54143,0.53931,0.0,0.00608,15.04881,474.17535,3615.11415,0.73079,0.73558,0.42295,0.0005,7.005
5,0.5407,0.5383,0.0,0.00644,17.6188,385.73151,4444.01861,0.73068,0.73516,0.42296,0.0005,7.005
6,0.5404,0.53807,0.0,0.00597,17.32723,540.41611,3171.99647,0.73056,0.73486,0.42303,0.0005,7.005
7,0.54094,0.53774,0.0,0.00712,24.90497,709.21152,2417.04761,0.7304,0.73499,0.42305,0.00025,7.005
8,0.53929,0.53725,0.0,0.00647,13.92672,623.19553,2750.65836,0.73035,0.73472,0.42312,0.00025,7.005
9,0.53873,0.53697,0.0,0.00632,11.2351,459.86472,3727.61366,0.73025,0.73447,0.42312,0.00025,7.005
10,0.53852,0.53691,0.0,0.00631,9.78548,485.41341,3531.41873,0.7301,0.7345,0.42329,0.000125,7.005
11,0.53814,0.5367,0.0,0.00629,8.10387,314.09312,5457.61079,0.73,0.73437,0.42331,0.000125,7.005
