epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.61426,0.61039,8e-05,0.00255,36.00853,74.74914,2304.0935,0.74239,0.70942,0.43855,0.001,5.357
2,0.56397,0.55835,6e-05,0.00618,49.92613,72.75155,2367.35861,0.76859,0.72528,0.42545,0.001,5.357
3,0.54913,0.54122,1e-05,0.01326,65.79507,74.02412,2326.66054,0.773,0.7244,0.42398,0.001,5.357
4,0.55368,0.54535,7e-05,0.01309,70.08136,71.74696,2400.50588,0.75964,0.72073,0.42733,0.001,5.357
5,0.55578,0.54745,0.00081,0.01717,65.30882,74.20437,2321.00893,0.76502,0.71283,0.43128,0.001,5.357
6,0.55575,0.54603,0.00095,0.01767,78.64835,72.89909,2362.56716,0.75952,0.71785,0.42748,0.0005,5.357
7,0.55379,0.54246,0.00023,0.02132,91.77672,72.70863,2368.75595,0.76216,0.72086,0.42621,0.0005,5.357
8,0.55729,0.54451,0.0004,0.02554,101.83987,72.31132,2381.77095,0.75601,0.71483,0.42858,0.0005,5.357
