epoch,train_loss,train_bce,train_mono,train_gs,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.60737,0.60726,3e-05,0.00114,80.42498,2141.48644,0.76081,0.71697,0.43312,0.001,6.54
2,0.55413,0.55318,0.0,0.00948,80.23452,2146.56976,0.76406,0.72776,0.42634,0.001,6.537
3,0.55056,0.548,0.0,0.02566,79.67936,2161.52589,0.75793,0.71863,0.42829,0.001,6.537
4,0.54715,0.54443,4e-05,0.02722,107.78073,1597.95727,0.76297,0.72174,0.4261,0.001,6.537
5,0.54271,0.53984,1e-05,0.02865,81.69968,2108.07436,0.76202,0.7197,0.42658,0.0005,6.537
6,0.54158,0.53868,1e-05,0.02894,92.99441,1852.03604,0.76119,0.71961,0.42655,0.0005,6.537
7,0.5419,0.53908,0.0,0.02817,76.56813,2249.35625,0.75998,0.71972,0.42709,0.0005,6.537
