epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.57067,0.56795,5e-05,0.00268,24.4471,26.13699,15895.13536,0.69404,0.76634,0.40639,0.001,9.618
2,0.51103,0.50712,0.00013,0.00649,32.51351,24.54055,16929.16294,0.74574,0.79671,0.3917,0.001,9.618
3,0.49049,0.48651,0.0,0.00742,32.38985,24.79206,16757.41867,0.76266,0.80958,0.38128,0.001,9.618
4,0.47163,0.46543,1e-05,0.01775,44.20103,25.09424,16555.63129,0.78072,0.81205,0.37625,0.001,9.618
5,0.46639,0.45798,0.00017,0.02996,53.93774,24.68671,16828.93023,0.78777,0.81026,0.37537,0.001,9.618
6,0.46434,0.45464,0.00011,0.02959,67.23786,24.74745,16787.63093,0.79191,0.81197,0.37258,0.001,9.618
7,0.46248,0.45159,0.00012,0.03052,78.32147,23.76569,17481.12498,0.79563,0.81081,0.37213,0.001,9.618
8,0.4647,0.44992,0.0002,0.05125,96.32174,23.75433,17489.48288,0.79418,0.81123,0.37212,0.001,9.618
9,0.46558,0.44927,6e-05,0.05346,109.62611,24.4897,16964.3168,0.79617,0.81091,0.37168,0.001,9.618
10,0.46265,0.44811,5e-05,0.04698,98.39286,25.17124,16504.98531,0.79577,0.8117,0.37187,0.001,9.618
11,0.46063,0.44778,0.00014,0.04764,80.71441,36.51946,11376.15337,0.79596,0.81194,0.37165,0.001,9.618
12,0.45844,0.44733,8e-05,0.04538,65.63646,24.70221,16818.37682,0.7963,0.81187,0.37151,0.001,9.618
13,0.45648,0.44588,8e-05,0.04678,59.08534,23.92938,17361.54765,0.79583,0.81157,0.3712,0.001,9.618
14,0.45612,0.4452,6e-05,0.05156,57.62256,27.19876,15274.62991,0.79483,0.81193,0.37117,0.001,9.618
15,0.45494,0.44408,6e-05,0.05994,48.62011,24.47539,16974.23263,0.79795,0.81231,0.37049,0.001,9.618
16,0.45257,0.44236,6e-05,0.05805,44.03249,23.74817,17494.02478,0.79453,0.81291,0.371,0.001,9.618
17,0.4634,0.44566,0.0001,0.11559,61.65524,25.00184,16616.81443,0.79405,0.81164,0.37148,0.001,9.618
18,0.45908,0.44518,6e-05,0.07305,65.82719,23.84178,17425.33434,0.79425,0.81224,0.37101,0.0005,9.618
19,0.45486,0.4447,3e-05,0.04476,56.84833,24.20641,17162.8534,0.7944,0.81171,0.37115,0.0005,9.618
20,0.45285,0.44471,3e-05,0.03559,45.81403,24.82887,16732.57962,0.79409,0.81121,0.37134,0.0005,9.618
21,0.45128,0.44469,3e-05,0.02895,36.89537,24.74239,16791.06418,0.79339,0.81122,0.37103,0.00025,9.618
22,0.45022,0.44415,3e-05,0.02668,33.97732,25.17921,16499.76094,0.79304,0.81119,0.37112,0.00025,9.618
23,0.45078,0.44476,0.00011,0.02754,32.49133,24.51531,16946.5951,0.78869,0.80923,0.37291,0.00025,9.618
24,0.45418,0.44754,0.00067,0.03336,32.33721,24.44207,16997.37656,0.78441,0.80602,0.37505,0.000125,9.618
25,0.46344,0.45473,0.00151,0.05213,33.53632,24.6382,16862.06538,0.77602,0.80549,0.37979,0.000125,9.618
26,0.46876,0.45753,0.00151,0.07417,36.62902,24.84479,16721.85635,0.77649,0.80843,0.37845,0.000125,9.618
