epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.43782,0.43681,0.0,0.00191,8.17399,696.84846,5050.33765,0.79268,0.81695,0.3637,0.001,6.003
2,0.41666,0.41568,0.0,0.00301,6.7537,679.30451,5180.76939,0.80284,0.82054,0.35959,0.001,6.002
3,0.42882,0.42615,1e-05,0.00547,21.23491,703.94535,4999.42219,0.726,0.80156,0.38221,0.001,6.002
4,0.44086,0.43859,0.0,0.00478,17.82965,777.91228,4524.05767,0.78695,0.81255,0.36578,0.001,6.002
5,0.41606,0.41404,0.0,0.00356,16.62644,675.51293,5209.84845,0.79573,0.81733,0.36198,0.0005,6.002
6,0.41346,0.41211,0.0,0.00258,10.89221,776.24126,4533.79659,0.79949,0.81942,0.36028,0.0005,6.002
7,0.41117,0.40987,0.0,0.00266,10.26085,901.23579,3904.99362,0.79918,0.81933,0.36022,0.0005,6.002
