epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.62641,0.6233,5e-05,0.00195,29.09766,76.5745,2249.16914,0.73685,0.66692,0.44771,0.001,9.791
2,0.57419,0.57057,0.0,0.00334,32.86338,75.16357,2291.38921,0.75551,0.70908,0.43521,0.001,9.791
3,0.56384,0.55699,2e-05,0.01184,56.63015,74.44517,2313.50145,0.75747,0.72234,0.42843,0.001,9.791
4,0.56447,0.5561,0.00097,0.02291,59.76431,73.61891,2339.46696,0.74644,0.69355,0.43787,0.001,9.791
5,0.55878,0.54854,0.00094,0.02637,75.06236,72.74362,2367.61641,0.7563,0.71826,0.42846,0.001,9.791
6,0.56287,0.54804,0.00033,0.03055,117.47863,73.14255,2354.7031,0.75813,0.72006,0.42769,0.001,9.791
7,0.56078,0.54609,0.00015,0.03035,116.38414,71.91434,2394.9187,0.75854,0.71893,0.42749,0.001,9.791
8,0.55735,0.54497,5e-05,0.0265,97.26841,72.97586,2360.08175,0.75779,0.71751,0.4277,0.001,9.791
9,0.55245,0.54416,9e-05,0.01901,63.82017,72.77665,2366.54206,0.76272,0.71899,0.42657,0.001,9.791
10,0.54829,0.53985,6e-05,0.01817,66.18989,73.21075,2352.5096,0.76913,0.72517,0.42382,0.001,9.791
11,0.54394,0.53563,0.00133,0.0188,62.97824,75.34661,2285.82274,0.77553,0.7301,0.42135,0.001,9.791
12,0.54592,0.5354,0.00036,0.03098,73.90281,75.59287,2278.37626,0.76322,0.72086,0.42812,0.001,9.791
13,0.55229,0.53853,0.00023,0.02784,109.48675,73.99294,2327.64084,0.76784,0.72369,0.42427,0.001,9.791
14,0.5481,0.53407,0.00015,0.03269,107.47192,71.13582,2421.12907,0.76944,0.7244,0.42361,0.0005,9.791
15,0.54605,0.52846,5e-05,0.07189,103.92228,69.99862,2460.46286,0.77006,0.72418,0.42344,0.0005,9.791
16,0.54519,0.52792,4e-05,0.07538,97.31628,72.86215,2363.76511,0.76954,0.72435,0.42372,0.0005,9.791
17,0.544,0.52725,5e-05,0.07554,91.93066,71.4962,2408.9251,0.76706,0.72193,0.42515,0.00025,9.791
18,0.54532,0.52865,4e-05,0.07812,88.5308,71.06221,2423.63693,0.76712,0.72352,0.4248,0.00025,9.791
19,0.54451,0.52879,4e-05,0.06973,87.37566,42.00983,4099.7309,0.76641,0.72247,0.42488,0.00025,9.791
20,0.54268,0.52843,4e-05,0.05692,85.57781,35.19153,4894.04715,0.76623,0.72283,0.42493,0.000125,9.791
21,0.54097,0.52829,4e-05,0.0433,83.42356,30.48434,5649.75402,0.76609,0.72225,0.42495,0.000125,9.791
