epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.62446,0.62214,2e-05,0.00107,22.14572,32.55079,5273.63562,0.73348,0.66273,0.44937,0.001,9.791
2,0.57508,0.57235,0.0,0.00182,25.46076,30.76097,5580.48031,0.74921,0.7111,0.43586,0.001,9.791
3,0.56658,0.55923,4e-05,0.0114,62.01651,41.11026,4175.62448,0.75236,0.71767,0.43103,0.001,9.791
4,0.5611,0.54843,0.00016,0.02491,101.57323,35.99243,4769.36346,0.76387,0.72172,0.42684,0.001,9.791
5,0.55571,0.53771,0.00011,0.07006,109.88642,30.41154,5644.60019,0.77146,0.72788,0.42371,0.001,9.791
6,0.54811,0.53078,0.00021,0.07928,93.82285,29.71222,5777.4545,0.77291,0.72952,0.4232,0.001,9.791
7,0.55012,0.52678,0.0002,0.10082,132.39459,30.60607,5608.72314,0.77469,0.72966,0.42232,0.001,9.791
8,0.54616,0.52294,5e-05,0.10196,130.1668,29.71915,5776.10747,0.77572,0.73015,0.42194,0.001,9.791
9,0.54371,0.52281,5e-05,0.09625,112.69813,30.42378,5642.32933,0.77293,0.72882,0.42305,0.001,9.791
10,0.54618,0.5279,5e-05,0.07803,104.72335,30.72997,5586.10942,0.77126,0.72439,0.42435,0.001,9.791
11,0.54489,0.52419,8e-05,0.09344,113.47265,30.73934,5584.40756,0.77364,0.72856,0.42282,0.0005,9.791
12,0.54271,0.52103,0.0001,0.09524,121.48377,59.93619,2864.0627,0.77304,0.72778,0.4232,0.0005,9.791
13,0.53933,0.51905,0.00012,0.09257,110.09732,34.83031,4928.49405,0.77381,0.72731,0.42277,0.0005,9.791
14,0.53561,0.51727,8e-05,0.08747,95.77828,38.01483,4515.63194,0.77479,0.72752,0.42272,0.00025,9.791
15,0.5362,0.51914,6e-05,0.08156,88.95727,30.80067,5573.28765,0.77491,0.72911,0.42252,0.00025,9.791
16,0.53384,0.51615,4e-05,0.08172,95.1136,29.82093,5756.39387,0.77558,0.73036,0.42226,0.00025,9.791
17,0.53297,0.51544,3e-05,0.08026,94.93751,31.1056,5518.65273,0.77566,0.73077,0.42214,0.000125,9.791
18,0.53294,0.515,3e-05,0.08325,96.11154,31.66727,5420.77111,0.77348,0.72854,0.42321,0.000125,9.791
