epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.50279,0.5015,0.0,0.00138,11.49604,2377.59895,4340.1079,0.79976,0.76875,0.39779,0.001,4.068
2,0.48054,0.48023,0.0,0.00066,2.37714,2332.06862,4424.84235,0.80158,0.76959,0.3968,0.001,4.068
3,0.48375,0.48324,0.0,0.00207,3.08296,2356.82609,4378.36125,0.80223,0.76996,0.39643,0.001,4.068
4,0.47699,0.47671,0.0,0.0013,1.43876,2634.58368,3916.76153,0.80238,0.76963,0.39645,0.001,4.068
5,0.47558,0.47535,0.0,0.00097,1.32556,2347.14301,4396.42407,0.80278,0.77003,0.39621,0.001,4.068
6,0.47483,0.47459,0.0,0.00105,1.39436,2367.6331,4358.37631,0.80393,0.77083,0.39561,0.001,4.068
7,0.47339,0.4732,0.0,0.00083,1.08917,2307.62776,4471.70734,0.80407,0.77083,0.39564,0.001,4.068
8,0.47231,0.47213,0.0,0.00077,0.97742,2344.13789,4402.06015,0.80431,0.77079,0.39539,0.001,4.068
